---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
 4449322.847000  	    50	0	0  
 4450325.158000  	    b9	0	2  
 4450326.423000  	    10	0	0  
 4459327.821000  	    7a	8	2  
 4459329.073000  	    50	0	0  
 4460331.369000  	    ba	0	2  
 4460332.636000  	    10	0	0  
 4460534.006000  	    7a	8	2  
 4460535.282000  	    50	0	0  
 4461537.740000  	    8a	3	2  
 4461539.000000  	    8a	2	2  
 4461540.271000  	    0	0	0  
 4467541.604000  	    7a	8	2  
 4467542.866000  	    50	0	0  
 4468545.013000  	    b9	0	2  
 4468546.142000  	    10	0	0  
 4477547.305000  	    7a	8	2  
